DB02494,-3.931057611424306
DB08437,-3.907570310424269
DB07374,-3.907570310424269
DB00720,-3.551478549104978
DB03429,-2.610566183007715
DB01736,-2.610566183007715
DB02426,-2.610566183007715
DB01158,-2.609656128228852
DB01378,-2.609656128228852
DB00511,-2.609656128228852
DB01345,-2.609656128228852
DB00390,-2.609656128228852
DB01430,-2.609656128228852
DB01092,-2.609656128228852
DB01078,-2.609656128228852
DB01396,-2.609656128228852
DB08348,-2.391321601793384
DB02458,-2.3543614635982095
DB01121,-2.3519401053828477
DB01438,-2.3519401053828477
DB04930,-2.3519401053828477
DB02059,-2.334705637020431
DB00575,-2.322927471801084
DB00484,-2.322927471801084
DB04602,-2.3166136975297547
DB04805,-2.3166136975297547
DB04674,-2.1751208176477355
DB01110,-2.165327779495367
DB04216,-2.123988174853397
DB03886,-2.074745135116212
DB01370,-2.0606314387956846
DB02684,-2.028148163039552
DB02510,-2.028148163039552
DB03376,-2.028148163039552
DB00561,-2.0020857237913208
DB02733,-1.9859550882144885
DB03314,-1.982137045899295
DB07182,-1.9772834722619048
DB06921,-1.9772834722619048
DB06835,-1.9772834722619048
DB07136,-1.9772834722619048
DB07157,-1.9772834722619048
DB04723,-1.9772834722619048
DB07269,-1.9772834722619048
