DB00920,-6.711889310223628
DB07954,-6.466331503851398
DB05266,-6.430229438016119
DB01791,-6.099201595589981
DB01656,-6.099201595589981
DB00651,-5.993424766465949
DB08299,-5.6592673635355135
DB02587,-5.631527511673279
DB06843,-5.631527511673279
DB01959,-5.0868123340522775
DB01954,-5.0868123340522775
DB03606,-5.0868123340522775
DB03849,-5.0868123340522775
DB04149,-5.0868123340522775
DB01113,-4.684324196066141
DB08811,-4.656281506639598
DB02506,-4.617252094853466
DB06909,-4.493737810257595
DB02660,-4.493737810257595
DB01647,-4.493737810257595
DB03807,-4.493737810257595
DB03597,-4.395671320446453
DB01088,-4.318500955817307
DB01427,-4.230730473133497
DB00121,-4.228667858563879
DB00277,-4.214009455365168
DB00806,-4.119380492413695
DB06905,-3.905774813630218
DB03496,-3.8548163809447247
DB00203,-3.817950148378137
DB00862,-3.817950148378137
DB00975,-3.7564348044927565
DB03349,-3.7215230645311856
DB00242,-3.719238535478305
DB00820,-3.581555570908569
DB06842,-3.5476427923766196
DB04530,-3.513335154936458
DB00694,-3.450428086714722
DB00380,-3.450428086714722
DB02482,-3.431970561154715
DB00482,-3.329781140788394
DB01613,-3.309818190036014
DB04967,-3.202521495675024
DB00824,-3.1856781344182066
DB01412,-3.139519426494913
DB08696,-3.1377122333292333
DB01303,-3.0892183576077157
DB04395,-2.972605308550794
DB00201,-2.9624290388539043
DB08363,-2.9523380459576503
DB01630,-2.9290260586585255
DB01645,-2.9022637723905036
DB07449,-2.8790624830520475
DB07744,-2.860719427648934
DB07916,-2.860719427648934
DB07733,-2.860719427648934
DB03994,-2.8495303322144845
DB03431,-2.847433074200699
DB02271,-2.842374048876685
DB07838,-2.842374048876685
DB02180,-2.842374048876685
DB07061,-2.842374048876685
DB01590,-2.796469502697575
DB06287,-2.796469502697575
DB07234,-2.786061152139742
DB07406,-2.786061152139742
DB07430,-2.786061152139742
DB03626,-2.7841129844026518
DB02395,-2.7841129844026518
DB04392,-2.7841129844026518
DB01927,-2.7841129844026518
DB04090,-2.7841129844026518
DB02400,-2.7841129844026518
DB07385,-2.7841129844026518
DB07627,-2.783080362605722
DB04653,-2.783080362605722
DB04276,-2.783080362605722
DB02860,-2.7827695683287876
DB04675,-2.7827695683287876
DB04738,-2.7827695683287876
DB02169,-2.7827695683287876
DB01110,-2.7713467761595387
DB03575,-2.756668696662887
DB07497,-2.726407339873355
DB08651,-2.717547496105346
DB07186,-2.705790021230245
DB01280,-2.665790777838541
DB01820,-2.6590909090909087
DB03311,-2.6590909090909087
DB02622,-2.6590909090909087
DB04800,-2.6590909090909087
DB02662,-2.6590909090909087
DB07289,-2.6590909090909087
DB04525,-2.6590909090909087
DB07295,-2.6590909090909087
DB07298,-2.6590909090909087
DB07197,-2.6590909090909087
DB08397,-2.6590909090909087
DB02072,-2.6590909090909087
DB02259,-2.6590909090909087
DB03670,-2.6590909090909087
DB02651,-2.6590909090909087
DB08593,-2.6590909090909087
DB02827,-2.6590909090909087
DB03714,-2.6590909090909087
DB02620,-2.6590909090909087
DB07719,-2.6590909090909087
DB02014,-2.6590909090909087
DB04142,-2.6590909090909087
DB01734,-2.6590909090909087
DB03483,-2.6590909090909087
DB02436,-2.6590909090909087
DB04285,-2.6590909090909087
DB07730,-2.6590909090909087
DB08591,-2.6590909090909087
DB03982,-2.6590909090909087
DB02977,-2.6590909090909087
DB07130,-2.6590909090909087
DB07134,-2.6590909090909087
DB08001,-2.6590909090909087
DB08003,-2.6590909090909087
DB02420,-2.6590909090909087
DB04204,-2.6590909090909087
DB08549,-2.6590909090909087
DB06829,-2.6590909090909087
DB04001,-2.6590909090909087
DB02784,-2.6590909090909087
DB03102,-2.6590909090909087
DB08147,-2.6590909090909087
DB08783,-2.6590909090909087
DB07651,-2.6590909090909087
DB07480,-2.6590909090909087
DB03154,-2.6590909090909087
DB03557,-2.6590909090909087
DB06887,-2.6590909090909087
DB04088,-2.6590909090909087
DB07263,-2.6590909090909087
DB03706,-2.655687211019626
DB03032,-2.655687211019626
DB06941,-2.642575229202647
DB07004,-2.642575229202647
DB03062,-2.6349139913606887
DB02917,-2.610172567740829
DB07586,-2.610172567740829
DB07350,-2.610172567740829
DB02565,-2.610172567740829
DB04474,-2.6101003921622525
DB02918,-2.602582851707127
DB03183,-2.602582851707127
